# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.414393e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.414991e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.415588e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.416186e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.416783e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.417381e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.418277e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.419472e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.423057e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.428036e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.434011e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.441977e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.455919e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.475835e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.495752e-04 
