# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 1.000000e+00 8.606721e-03 2.603998e+04 
7.500000e-02 2.500000e-02 6.000000e+00 2.151680e-02 2.735603e+04 
1.250000e-01 2.500000e-02 6.000000e+00 3.442688e-02 2.694066e+04 
1.750000e-01 2.500000e-02 8.000000e+00 6.455041e-02 2.712150e+04 
2.250000e-01 2.500000e-02 9.000000e+00 7.746049e-02 2.739629e+04 
2.750000e-01 2.500000e-02 8.000000e+00 7.315713e-02 2.798163e+04 
3.500000e-01 5.000000e-02 1.100000e+01 2.237747e-01 2.797696e+04 
4.500000e-01 5.000000e-02 8.000000e+00 2.797184e-01 2.816317e+04 
7.500000e-01 2.500000e-01 1.500000e+01 2.349635e+00 2.802700e+04 
1.166667e+00 1.666667e-01 1.300000e+01 2.418489e+00 2.729608e+04 
1.666667e+00 3.333333e-01 2.100000e+01 5.861177e+00 2.758262e+04 
2.333333e+00 3.333333e-01 1.700000e+01 6.059132e+00 2.618657e+04 
3.500000e+00 8.333333e-01 9.400000e+01 3.005467e+01 2.607943e+04 
5.166667e+00 8.333333e-01 1.210000e+02 4.777591e+01 2.534655e+04 
6.833333e+00 8.333333e-01 1.230000e+02 4.796095e+01 2.453349e+04 
