# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 2.900000e+01 8.606721e-03 2.604727e+04 
7.500000e-02 2.500000e-02 8.700000e+01 2.151680e-02 2.736595e+04 
1.250000e-01 2.500000e-02 1.040000e+02 3.442688e-02 2.695037e+04 
1.750000e-01 2.500000e-02 8.800000e+01 6.455041e-02 2.713162e+04 
2.250000e-01 2.500000e-02 1.110000e+02 7.746049e-02 2.740379e+04 
2.750000e-01 2.500000e-02 1.060000e+02 7.315713e-02 2.798766e+04 
3.500000e-01 5.000000e-02 1.600000e+02 2.237747e-01 2.798202e+04 
4.500000e-01 5.000000e-02 1.390000e+02 2.797184e-01 2.816647e+04 
7.500000e-01 2.500000e-01 2.940000e+02 2.349635e+00 2.803648e+04 
1.166667e+00 1.666667e-01 9.400000e+01 2.418489e+00 2.731146e+04 
1.666667e+00 3.333333e-01 1.400000e+02 5.861177e+00 2.760919e+04 
2.333333e+00 3.333333e-01 7.100000e+01 6.059132e+00 2.624296e+04 
3.500000e+00 8.333333e-01 3.550000e+02 3.005467e+01 2.611403e+04 
5.166667e+00 8.333333e-01 5.100000e+02 4.777591e+01 2.524738e+04 
6.833333e+00 8.333333e-01 5.020000e+02 4.796095e+01 2.442508e+04 
