# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.152724e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.153523e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.154322e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.155120e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.155919e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.156718e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.157916e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.159514e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.164307e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.170964e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.178952e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.189603e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.208242e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.234869e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.261497e-04 
