# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 2.000000e+00 8.606721e-03 2.601892e+04 
7.500000e-02 2.500000e-02 3.000000e+00 2.151680e-02 2.733009e+04 
1.250000e-01 2.500000e-02 7.000000e+00 3.442688e-02 2.691444e+04 
1.750000e-01 2.500000e-02 7.000000e+00 6.455041e-02 2.709507e+04 
2.250000e-01 2.500000e-02 1.100000e+01 7.746049e-02 2.737328e+04 
2.750000e-01 2.500000e-02 7.000000e+00 7.315713e-02 2.796045e+04 
3.500000e-01 5.000000e-02 1.200000e+01 2.237747e-01 2.795642e+04 
4.500000e-01 5.000000e-02 7.000000e+00 2.797184e-01 2.814402e+04 
7.500000e-01 2.500000e-01 2.700000e+01 2.349635e+00 2.799462e+04 
1.166667e+00 1.666667e-01 2.200000e+01 2.418489e+00 2.724850e+04 
1.666667e+00 3.333333e-01 2.800000e+01 5.861177e+00 2.749912e+04 
2.333333e+00 3.333333e-01 2.600000e+01 6.059132e+00 2.601776e+04 
3.500000e+00 8.333333e-01 9.400000e+01 3.005467e+01 2.585560e+04 
5.166667e+00 8.333333e-01 2.100000e+02 4.777591e+01 2.495271e+04 
6.833333e+00 8.333333e-01 1.930000e+02 4.796095e+01 2.395769e+04 
