# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 6.000000e+00 8.606721e-03 2.544091e+04 
7.500000e-02 2.500000e-02 2.700000e+01 2.151680e-02 2.673040e+04 
1.250000e-01 2.500000e-02 3.400000e+01 3.442688e-02 2.632336e+04 
1.750000e-01 2.500000e-02 2.800000e+01 6.455041e-02 2.650124e+04 
2.250000e-01 2.500000e-02 2.500000e+01 7.746049e-02 2.676390e+04 
2.750000e-01 2.500000e-02 2.500000e+01 7.315713e-02 2.733263e+04 
3.500000e-01 5.000000e-02 4.100000e+01 2.237747e-01 2.732570e+04 
4.500000e-01 5.000000e-02 3.400000e+01 2.797184e-01 2.750147e+04 
7.500000e-01 2.500000e-01 7.700000e+01 2.349635e+00 2.737416e+04 
1.166667e+00 1.666667e-01 3.400000e+01 2.418489e+00 2.665971e+04 
1.666667e+00 3.333333e-01 4.400000e+01 5.861177e+00 2.692230e+04 
2.333333e+00 3.333333e-01 2.200000e+01 6.059132e+00 2.557682e+04 
3.500000e+00 8.333333e-01 1.450000e+02 3.005467e+01 2.531073e+04 
5.166667e+00 8.333333e-01 1.680000e+02 4.777591e+01 2.375334e+04 
6.833333e+00 8.333333e-01 1.440000e+02 4.796095e+01 2.268314e+04 
