# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 3.808301e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 3.810148e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.811996e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.813843e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.815691e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.817538e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.820309e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.824004e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.835088e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.850483e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.868957e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.893588e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.936694e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.998273e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.059852e-04 
