# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 1.000000e+01 8.606721e-03 2.604171e+04 
7.500000e-02 2.500000e-02 3.500000e+01 2.151680e-02 2.736033e+04 
1.250000e-01 2.500000e-02 4.100000e+01 3.442688e-02 2.694480e+04 
1.750000e-01 2.500000e-02 3.400000e+01 6.455041e-02 2.712604e+04 
2.250000e-01 2.500000e-02 4.000000e+01 7.746049e-02 2.739781e+04 
2.750000e-01 2.500000e-02 3.600000e+01 7.315713e-02 2.798133e+04 
3.500000e-01 5.000000e-02 4.600000e+01 2.237747e-01 2.797556e+04 
4.500000e-01 5.000000e-02 4.000000e+01 2.797184e-01 2.815954e+04 
7.500000e-01 2.500000e-01 9.900000e+01 2.349635e+00 2.802946e+04 
1.166667e+00 1.666667e-01 3.000000e+01 2.418489e+00 2.730395e+04 
1.666667e+00 3.333333e-01 4.100000e+01 5.861177e+00 2.760067e+04 
2.333333e+00 3.333333e-01 1.600000e+01 6.059132e+00 2.623513e+04 
3.500000e+00 8.333333e-01 1.290000e+02 3.005467e+01 2.609999e+04 
5.166667e+00 8.333333e-01 1.680000e+02 4.777591e+01 2.520843e+04 
6.833333e+00 8.333333e-01 1.810000e+02 4.796095e+01 2.437671e+04 
