# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 1.000000e+01 8.606721e-03 2.604387e+04 
7.500000e-02 2.500000e-02 2.800000e+01 2.151680e-02 2.736097e+04 
1.250000e-01 2.500000e-02 2.400000e+01 3.442688e-02 2.694496e+04 
1.750000e-01 2.500000e-02 3.300000e+01 6.455041e-02 2.712631e+04 
2.250000e-01 2.500000e-02 3.200000e+01 7.746049e-02 2.740045e+04 
2.750000e-01 2.500000e-02 3.200000e+01 7.315713e-02 2.798544e+04 
3.500000e-01 5.000000e-02 5.500000e+01 2.237747e-01 2.798005e+04 
4.500000e-01 5.000000e-02 4.600000e+01 2.797184e-01 2.816639e+04 
7.500000e-01 2.500000e-01 9.300000e+01 2.349635e+00 2.803363e+04 
1.166667e+00 1.666667e-01 2.400000e+01 2.418489e+00 2.730910e+04 
1.666667e+00 3.333333e-01 4.600000e+01 5.861177e+00 2.760992e+04 
2.333333e+00 3.333333e-01 2.600000e+01 6.059132e+00 2.623971e+04 
3.500000e+00 8.333333e-01 1.190000e+02 3.005467e+01 2.613786e+04 
5.166667e+00 8.333333e-01 1.720000e+02 4.777591e+01 2.537397e+04 
6.833333e+00 8.333333e-01 1.750000e+02 4.796095e+01 2.458962e+04 
