# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 9.000000e+00 8.606721e-03 2.586896e+04 
7.500000e-02 2.500000e-02 2.400000e+01 2.151680e-02 2.717973e+04 
1.250000e-01 2.500000e-02 3.900000e+01 3.442688e-02 2.676654e+04 
1.750000e-01 2.500000e-02 2.100000e+01 6.455041e-02 2.694689e+04 
2.250000e-01 2.500000e-02 3.900000e+01 7.746049e-02 2.721534e+04 
2.750000e-01 2.500000e-02 3.800000e+01 7.315713e-02 2.779417e+04 
3.500000e-01 5.000000e-02 5.900000e+01 2.237747e-01 2.778782e+04 
4.500000e-01 5.000000e-02 5.300000e+01 2.797184e-01 2.796857e+04 
7.500000e-01 2.500000e-01 1.020000e+02 2.349635e+00 2.783983e+04 
1.166667e+00 1.666667e-01 4.000000e+01 2.418489e+00 2.711721e+04 
1.666667e+00 3.333333e-01 5.300000e+01 5.861177e+00 2.740229e+04 
2.333333e+00 3.333333e-01 2.900000e+01 6.059132e+00 2.604234e+04 
3.500000e+00 8.333333e-01 1.070000e+02 3.005467e+01 2.585873e+04 
5.166667e+00 8.333333e-01 1.700000e+02 4.777591e+01 2.475117e+04 
6.833333e+00 8.333333e-01 1.460000e+02 4.796095e+01 2.383917e+04 
