# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.768602e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.769247e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.769893e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.770538e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.771184e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.771829e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.772797e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.774088e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.777961e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.783340e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.789795e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.798401e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.813463e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.834979e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.856495e-04 
