# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.244311e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.244905e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.245500e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.246095e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.246690e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.247285e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.248178e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.249368e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.252938e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.257896e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.263845e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.271778e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.285661e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.305493e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.325326e-04 
