# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 0.000000e+00 8.606721e-03 2.603279e+04 
7.500000e-02 2.500000e-02 4.000000e+00 2.151680e-02 2.734707e+04 
1.250000e-01 2.500000e-02 6.000000e+00 3.442688e-02 2.693146e+04 
1.750000e-01 2.500000e-02 5.000000e+00 6.455041e-02 2.711229e+04 
2.250000e-01 2.500000e-02 4.000000e+00 7.746049e-02 2.738848e+04 
2.750000e-01 2.500000e-02 8.000000e+00 7.315713e-02 2.797463e+04 
3.500000e-01 5.000000e-02 8.000000e+00 2.237747e-01 2.797021e+04 
4.500000e-01 5.000000e-02 6.000000e+00 2.797184e-01 2.815742e+04 
7.500000e-01 2.500000e-01 2.400000e+01 2.349635e+00 2.801716e+04 
1.166667e+00 1.666667e-01 1.200000e+01 2.418489e+00 2.728258e+04 
1.666667e+00 3.333333e-01 1.400000e+01 5.861177e+00 2.756006e+04 
2.333333e+00 3.333333e-01 1.800000e+01 6.059132e+00 2.614136e+04 
3.500000e+00 8.333333e-01 1.160000e+02 3.005467e+01 2.602491e+04 
5.166667e+00 8.333333e-01 1.560000e+02 4.777591e+01 2.525627e+04 
6.833333e+00 8.333333e-01 1.580000e+02 4.796095e+01 2.439876e+04 
