# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 4.834988e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 4.840327e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.845667e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.851007e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.856347e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.861686e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.869696e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.880376e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.912414e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.956913e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.010310e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.081507e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.206101e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.384094e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.562087e-04 
