# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 4.000000e+00 8.606721e-03 2.595116e+04 
7.500000e-02 2.500000e-02 1.500000e+01 2.151680e-02 2.726572e+04 
1.250000e-01 2.500000e-02 1.600000e+01 3.442688e-02 2.685136e+04 
1.750000e-01 2.500000e-02 2.300000e+01 6.455041e-02 2.703228e+04 
2.250000e-01 2.500000e-02 2.500000e+01 7.746049e-02 2.730262e+04 
2.750000e-01 2.500000e-02 2.200000e+01 7.315713e-02 2.788387e+04 
3.500000e-01 5.000000e-02 3.400000e+01 2.237747e-01 2.787773e+04 
4.500000e-01 5.000000e-02 1.500000e+01 2.797184e-01 2.806032e+04 
7.500000e-01 2.500000e-01 6.700000e+01 2.349635e+00 2.792993e+04 
1.166667e+00 1.666667e-01 3.600000e+01 2.418489e+00 2.720493e+04 
1.666667e+00 3.333333e-01 5.300000e+01 5.861177e+00 2.749585e+04 
2.333333e+00 3.333333e-01 4.300000e+01 6.059132e+00 2.615085e+04 
3.500000e+00 8.333333e-01 2.170000e+02 3.005467e+01 2.603690e+04 
5.166667e+00 8.333333e-01 3.300000e+02 4.777591e+01 2.526523e+04 
6.833333e+00 8.333333e-01 3.560000e+02 4.796095e+01 2.446737e+04 
