# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.956591e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.956632e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.956673e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.956714e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.956755e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.956796e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.956858e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.956940e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.957187e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.957529e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.957940e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.958488e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.959447e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.960816e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.962186e-04 
