# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.051786e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.051941e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.052096e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.052252e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.052407e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.052562e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.052795e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.053106e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.054038e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.055332e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.056885e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.058955e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.062579e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.067756e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.072933e-04 
