# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 3.000000e+00 8.606721e-03 2.596662e+04 
7.500000e-02 2.500000e-02 8.000000e+00 2.151680e-02 2.726947e+04 
1.250000e-01 2.500000e-02 7.000000e+00 3.442688e-02 2.685311e+04 
1.750000e-01 2.500000e-02 7.000000e+00 6.455041e-02 2.703329e+04 
2.250000e-01 2.500000e-02 1.100000e+01 7.746049e-02 2.731476e+04 
2.750000e-01 2.500000e-02 2.000000e+00 7.315713e-02 2.790360e+04 
3.500000e-01 5.000000e-02 2.100000e+01 2.237747e-01 2.789971e+04 
4.500000e-01 5.000000e-02 1.300000e+01 2.797184e-01 2.808613e+04 
7.500000e-01 2.500000e-01 4.600000e+01 2.349635e+00 2.791087e+04 
1.166667e+00 1.666667e-01 4.100000e+01 2.418489e+00 2.712748e+04 
1.666667e+00 3.333333e-01 6.800000e+01 5.861177e+00 2.727825e+04 
2.333333e+00 3.333333e-01 6.800000e+01 6.059132e+00 2.558714e+04 
3.500000e+00 8.333333e-01 3.740000e+02 3.005467e+01 2.524883e+04 
5.166667e+00 8.333333e-01 5.530000e+02 4.777591e+01 2.389479e+04 
6.833333e+00 8.333333e-01 5.510000e+02 4.796095e+01 2.248497e+04 
