# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.284670e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.285119e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.285569e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.286019e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.286469e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.286919e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.287593e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.288493e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.291192e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.294940e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.299438e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.305435e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.315930e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.330923e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.345916e-04 
