# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 5.163366e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 5.164617e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.165869e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.167120e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.168372e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.169624e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.171501e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.174004e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.181513e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.191943e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.204459e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.221145e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.250348e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.292066e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.333785e-04 
